location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million
Argentina,ARG,2020-12-29,700,,,,,,0.0,,,,
Argentina,ARG,2020-12-30,,,,,,15656,,,,,343
Argentina,ARG,2020-12-31,32013,,,,,15656,0.07,,,,343
Argentina,ARG,2021-01-01,,,,,,11070,,,,,243
Argentina,ARG,2021-01-02,,,,,,8776,,,,,192
Argentina,ARG,2021-01-03,,,,,,7400,,,,,162
Argentina,ARG,2021-01-04,39599,,,,,6483,0.09,,,,142
Argentina,ARG,2021-01-05,,,,,,7984,,,,,175
Argentina,ARG,2021-01-06,,,,,,8173,,,,,179
Argentina,ARG,2021-01-07,,,,,,8363,,,,,183
Argentina,ARG,2021-01-08,107542,,,,,10519,0.24,,,,231
Argentina,ARG,2021-01-09,,,,,,11942,,,,,262
Argentina,ARG,2021-01-10,,,,,,13365,,,,,293
Argentina,ARG,2021-01-11,,,,,,14788,,,,,324
Argentina,ARG,2021-01-12,,,,,,14056,,,,,308
Argentina,ARG,2021-01-13,166833,,,,,13323,0.37,,,,292
Argentina,ARG,2021-01-14,,,,,,13320,,,,,292
Argentina,ARG,2021-01-15,200759,,,,,13317,0.44,,,,292
Argentina,ARG,2021-01-16,,,,,,12971,,,,,284
Argentina,ARG,2021-01-17,,,,,,12624,,,,,277
Argentina,ARG,2021-01-18,,,,,,12278,,,,,269
Argentina,ARG,2021-01-19,,,,,,11932,,,,,262
Argentina,ARG,2021-01-20,247933,243539,4394,,,11586,0.54,0.53,0.01,,254
Argentina,ARG,2021-01-21,265724,249372,16352,,17791,11704,0.58,0.55,0.04,,257
Argentina,ARG,2021-01-22,279602,254456,25146,,13878,11263,0.61,0.56,0.06,,247
Argentina,ARG,2021-01-23,288064,258876,29188,,8462,11124,0.63,0.57,0.06,,244
Argentina,ARG,2021-01-24,292023,260036,31987,,3959,10342,0.64,0.57,0.07,,227
Argentina,ARG,2021-01-25,292386,260122,32264,,363,9046,0.64,0.57,0.07,,198
Argentina,ARG,2021-01-26,305880,266969,38911,,13494,9626,0.67,0.59,0.09,,211
Argentina,ARG,2021-01-27,318033,272323,45710,,12153,10014,0.7,0.6,0.1,,220
Argentina,ARG,2021-01-28,327999,276548,51451,,9966,8896,0.72,0.61,0.11,,195
Argentina,ARG,2021-01-29,344034,278451,65583,,16035,9205,0.75,0.61,0.14,,202
Argentina,ARG,2021-01-30,366384,281023,85361,,22350,11189,0.8,0.62,0.19,,245
Argentina,ARG,2021-01-31,,,,,,11299,,,,,248
Argentina,ARG,2021-02-01,375851,281577,94274,,,11924,0.82,0.62,0.21,,261
Argentina,ARG,2021-02-02,,,,,,11475,,,,,252
Argentina,ARG,2021-02-03,396562,284196,112366,,,11218,0.87,0.62,0.25,,246
Argentina,ARG,2021-02-04,444018,297717,146301,,47456,16574,0.97,0.65,0.32,,363
Argentina,ARG,2021-02-05,,,,,,16238,,,,,356
Argentina,ARG,2021-02-06,471383,307501,163882,,,15000,1.03,0.67,0.36,,329
Argentina,ARG,2021-02-07,501152,319316,181836,,29769,18576,1.1,0.7,0.4,,407
Argentina,ARG,2021-02-08,511582,322318,189264,,10430,19390,1.12,0.71,0.41,,425
Argentina,ARG,2021-02-09,513178,322975,190203,,1596,18139,1.13,0.71,0.42,,398
Argentina,ARG,2021-02-10,535303,337772,197531,,22125,19820,1.17,0.74,0.43,,435
Argentina,ARG,2021-02-11,572928,362649,210279,,37625,18416,1.26,0.8,0.46,,404
Argentina,ARG,2021-02-12,591632,368023,223609,,18704,19133,1.3,0.81,0.49,,420
Argentina,ARG,2021-02-13,606245,371629,234616,,14613,19266,1.33,0.81,0.51,,422
Argentina,ARG,2021-02-14,609605,372122,237483,,3360,15493,1.34,0.82,0.52,,340
Argentina,ARG,2021-02-15,609791,372181,237610,,186,14030,1.34,0.82,0.52,,308
Argentina,ARG,2021-02-16,611169,373253,237916,,1378,13999,1.34,0.82,0.52,,307
Argentina,ARG,2021-02-17,612322,374002,238320,,1153,11003,1.34,0.82,0.52,,241
Argentina,ARG,2021-02-18,635583,392399,243184,,23261,8951,1.39,0.86,0.53,,196
Argentina,ARG,2021-02-19,668654,414958,253696,,33071,11003,1.47,0.91,0.56,,241
Argentina,ARG,2021-02-20,707148,445614,261534,,38494,14415,1.55,0.98,0.57,,316
Argentina,ARG,2021-02-21,720267,456929,263338,,13119,15809,1.58,1.0,0.58,,347
Argentina,ARG,2021-02-22,722234,458822,263412,,1967,16063,1.58,1.01,0.58,,352
Argentina,ARG,2021-02-23,746615,481689,264926,,24381,19349,1.64,1.06,0.58,,424
Argentina,ARG,2021-02-24,780455,513394,267061,,33840,24019,1.71,1.13,0.59,,527
Argentina,ARG,2021-02-25,829832,558831,271001,,49377,27750,1.82,1.23,0.59,,608
